[Objective_value_file]
report.type: objective_function
obs->lf_bb_147: 97.9567
obs->lf_bb_148: 135.506
obs->lf_bb_149: 112.026
obs->lf_bb_150: 68.6266
obs->lf_bb_151: 51.1633
obs->lf_bb_152: 39.2024
obs->lf_bb_153: 34.2927
obs->lf_bb_154: 20.688
obs->lf_bb_155: 20.1268
obs->lf_bb_156: 48.4251
obs->lf_bb_157: 77.8429
obs->lf_bb_158: 18.5847
obs->lf_bb_159: 82.3497
obs->lf_bb_160: 65.6184
obs->lf_bb_161: 54.6452
obs->lf_bb_162: 15.5995
obs->lf_bb_163: 46.2009
obs->lf_bb_164: 76.2093
obs->lf_bb_165: 41.5757
obs->lf_bb_166: 21.7326
obs->lf_bb_167: 101.149
obs->lf_bb_168: 374.19
obs->lf_bb_169: 2361.02
obs->lf_bb_170: 1986.3
obs->lf_bb_171: 4877.6
obs->lf_bb_172: 2688.35
obs->lf_bb_173: 2814.03
obs->lf_bb_174: 762.175
obs->lf_bb_175: 3831.38
obs->lf_bb_176: 1993.45
obs->lf_bb_177: 1510.27
obs->lf_bb_178: 540.114
obs->lf_bb_179: 557.868
obs->lf_bb_180: 254.088
obs->lf_bb_193: 1015.5
obs->lf_bb_194: 1311.51
obs->lf_bb_195: 2608.12
obs->lf_bb_196: 511.734
obs->lf_bb_197: 816.613
obs->lf_bb_198: 426.464
obs->lf_bb_199: 55.3008
obs->lf_bb_200: 270.756
obs->lf_bb_201: 291.953
obs->lf_bb_202: 951.061
obs->lf_bb_203: 2135.44
obs->lf_bb_204: 483.775
obs->lf_bb_205: 554.692
obs->lf_bb_206: 591.7
obs->lf_bb_207: 2232.43
obs->lf_bb_208: 5034.84
obs->lf_bb_209: 1492.19
obs->lf_bb_210: 850.066
obs->lf_bb_211: 3090.47
obs->lf_bb_212: 1221.94
obs->lf_bb_213: 1223.74
obs->lf_bb_214: 593.797
obs->lf_bb_215: 519.021
obs->lf_bb_216: 335.074
obs->lf_bb_217: 320.363
obs->lf_bb_218: 294.065
obs->lf_bb_219: 174.248
obs->lf_bb_220: 241.609
obs->lf_bb_221: 758.847
obs->lf_bb_222: 309.154
obs->lf_bb_223: 330.423
obs->lf_bb_224: 302.685
obs->lf_bb_225: 540.565
obs->lf_bb_226: 804.858
obs->lf_bb_227: 1008.05
obs->lf_bb_228: 1378.62
obs->lf_bb_229: 787.588
obs->lf_bb_230: 383.127
obs->lf_bb_231: 1394.88
obs->lf_bb_232: 1915.07
obs->lf_bb_233: 1133.1
obs->lf_bb_234: 863.58
obs->lf_bb_235: 608.693
obs->lf_bb_236: 546.405
obs->lf_bb_237: 448.293
obs->lf_bb_238: 223.001
obs->lf_bb_239: 97.2939
obs->lf_bb_240: 24.5259
obs->lf_bb_241: 89.4073
obs->lf_bb_242: 48.5672
obs->lf_bb_243: 93.9738
obs->lf_bb_244: 70.4615
obs->lf_bb_245: 22.5043
obs->lf_bb_246: 36.5049
obs->lf_bb_247: 58.4464
obs->lf_bb_248: 244.703
obs->lf_bb_249: 363.211
obs->lf_bb_250: 219.765
obs->lf_bb_251: 218.582
